OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU1472,0,7,0,40,68,0,0,0,0,0,53,0
OTU1473,0,0,0,29,0,0,0,0,0,0,0,0
OTU1475,0,11882,0,0,0,0,0,0,0,0,0,0
OTU1479,0,27,0,0,0,0,0,41,0,0,0,0
OTU1481,0,224,0,92,0,0,0,0,0,0,0,0
OTU1484,0,0,0,0,0,0,5,21,0,0,0,0
OTU1496,0,0,0,0,0,0,0,0,0,47,0,0
OTU1499,46,0,0,0,0,0,0,0,0,0,0,0
OTU1503,0,68,0,0,0,0,57,205,102,98,55,15
OTU1504,20,0,0,19,61,48,0,0,0,37,0,0
OTU1507,0,45,0,0,0,0,0,0,0,0,0,0
OTU151,0,0,0,0,0,0,0,0,0,74,0,0
OTU1512,0,0,0,0,0,0,62,0,0,0,0,0
OTU1514,0,0,0,0,0,0,0,0,160,0,0,0
OTU152,69,0,0,0,0,0,0,0,0,0,0,0
OTU1524,211,18,0,25,21,0,0,0,0,0,0,0
OTU1542,0,0,0,0,0,3,20,8,0,0,0,0
OTU1543,0,4,0,23,0,0,0,0,0,0,22,0
OTU1545,0,0,0,2,0,1434,0,0,0,0,0,0
OTU1546,0,0,0,0,0,0,0,0,7,0,0,73
OTU1554,0,420,0,0,0,0,0,0,0,0,0,0
OTU1555,0,0,0,0,0,0,167,0,0,0,0,0
OTU1558,0,0,0,0,0,0,0,0,84,0,0,0
OTU1568,0,0,0,0,0,0,158,0,0,0,0,0
OTU1570,0,0,0,0,0,178,26,0,0,0,53,0
OTU1579,0,0,0,25,0,0,0,0,0,0,0,0
OTU1580,0,44,0,0,0,0,0,0,0,122,0,0
OTU1581,0,0,0,0,0,0,0,0,0,0,27,0
OTU1584,0,0,0,0,0,0,0,0,97,0,0,0
OTU1586,0,0,0,0,0,0,0,0,0,0,0,338
OTU159,0,0,0,0,31,0,0,0,0,0,0,0
OTU1592,0,0,0,39,0,0,81,202,0,0,24,0
OTU1594,2,18,0,18,0,0,0,0,0,13,0,44
OTU1595,0,0,0,0,38,0,0,0,0,0,0,0
OTU1608,0,0,0,0,0,0,0,0,0,0,318,17
OTU1609,0,0,0,37,0,0,0,0,0,0,0,0
OTU162,0,19,0,0,0,7,0,0,0,0,0,0
OTU1627,0,22,0,0,0,0,61,0,0,0,0,0
OTU1629,2786,0,0,0,0,0,0,0,0,0,0,0
OTU1630,212,0,0,0,0,0,0,0,0,0,0,0
OTU1635,33,0,0,0,0,0,0,0,0,0,0,0
OTU1636,31,0,0,0,0,0,0,0,0,0,0,0
OTU1640,47,0,0,0,0,0,0,0,0,0,0,0
OTU1643,63,0,0,0,0,0,0,0,0,0,0,0
OTU1644,27,0,0,0,0,0,0,0,0,0,0,0
OTU1645,29,0,0,0,0,0,0,0,0,0,0,0
OTU1648,26,0,0,0,0,0,0,0,0,0,0,0
OTU165,117,0,0,0,0,0,0,0,0,0,0,0
OTU1654,104,0,0,0,0,0,0,0,0,0,0,0
OTU1655,34,0,0,0,0,0,0,0,0,0,0,17
OTU166,0,29,0,0,0,0,0,0,0,0,0,0
OTU1660,308,0,0,0,0,0,0,0,0,0,0,0
OTU1663,0,25,0,0,0,0,0,0,0,0,0,0
OTU1664,29,0,0,0,0,0,0,0,0,0,0,0
OTU1665,28,0,0,0,0,0,0,0,0,0,0,0
OTU1666,260,0,0,0,0,0,0,0,0,0,0,0
OTU1669,100,0,0,0,0,0,0,0,0,0,0,0
OTU1681,84,0,0,0,0,0,0,0,0,0,0,0
OTU1682,0,0,0,0,0,0,9,0,0,0,0,56
OTU1684,1927,17,16,26,0,15,0,0,0,0,0,136
OTU1690,38,0,0,0,5,0,0,0,0,0,0,0
OTU1691,0,0,0,0,0,24,116,145,0,0,0,0
OTU1694,0,0,0,0,0,0,0,49,0,0,0,0
OTU1698,0,0,0,0,0,43,0,34,0,0,0,0
OTU1700,0,0,0,0,0,0,1425,0,0,0,0,0
OTU1703,12,0,0,0,0,0,0,0,0,0,0,68
OTU1704,0,0,0,0,0,0,64,0,0,0,0,0
OTU1711,0,0,0,0,0,0,607,0,0,0,0,0
